วัน/เดือน/ปี,ยางแผ่นดิบ,น้ำยางสด,ยางแผ่นดิบ,ยางแผ่นรมควัน ชั้น3,น้ำยางสด,FOB
2020-01-02,37.9,32.5,38.9,40.99,,47.75
2020-01-03,37.9,34.5,39.05,40.99,,47.6
2020-01-06,38.1,39.0,39.45,41.88,,48.4
2020-01-07,39.1,39.3,39.59,42.29,,48.7
2020-01-08,38.6,39.6,40.07,42.8,,48.95
2020-01-09,38.9,40.0,40.4,42.77,,49.0
2020-01-10,38.9,40.6,40.55,42.85,,48.95
2020-01-13,39.1,41.5,40.8,43.59,,49.35
2020-01-14,39.6,41.7,41.2,44.88,,49.95
2020-01-15,39.6,42.2,39.99,44.6,,50.2
2020-01-16,40.05,42.7,41.53,44.7,,50.25
2020-01-17,40.35,43.0,41.85,45.17,,50.25
2020-01-20,40.35,42.0,41.95,44.22,,49.85
2020-01-21,40.05,41.0,41.4,43.45,,49.5
2020-01-22,39.85,41.0,41.05,42.8,,49.05
2020-01-23,39.6,41.0,40.75,42.79,,48.85
2020-01-24,39.4,41.2,40.5,42.45,,48.55
2020-01-27,,,,,,48.25
2020-01-28,38.6,41.0,39.85,42.02,,47.95
2020-01-29,38.4,40.5,40.3,42.17,,48.05
2020-01-30,38.4,40.0,40.4,42.25,,48.1
2020-01-31,38.4,39.5,40.6,42.0,,47.85
2020-02-03,39.8,39.8,39.39,40.41,,47.1
2020-02-04,37.9,39.5,39.6,40.7,,46.5
2020-02-05,37.9,39.4,39.89,41.0,,46.6
2020-02-06,38.4,39.5,40.29,41.53,,47.0
2020-02-07,38.6,39.5,40.4,41.65,,47.15
2020-02-11,38.6,39.7,40.44,42.22,,47.4
2020-02-12,38.9,40.0,40.74,42.63,,47.7
2020-02-13,38.9,40.6,40.8,43.13,,47.9
2020-02-14,39.1,41.2,40.98,43.52,,48.15
2020-02-17,39.4,41.5,41.25,44.17,,48.5
2020-02-18,39.8,41.8,41.7,44.77,,49.15
2020-02-19,40.1,42.2,41.9,45.29,,49.65
2020-02-20,40.0,42.8,42.05,45.69,,50.1
2020-02-21,41.35,43.8,43.29,46.3,,50.4
2020-02-24,41.1,44.3,42.9,46.3,,50.8
2020-02-25,40.75,44.5,,45.35,,51.2
2020-02-26,40.35,44.5,41.75,45.49,,51.2
2020-02-27,40.6,44.7,42.0,45.56,,51.65
2020-02-28,40.6,44.7,41.42,45.54,,51.65
2020-03-02,39.95,44.4,41.11,44.55,,50.25
2020-03-03,40.2,43.5,42.05,44.5,,50.45
2020-03-04,39.9,42.8,41.6,45.09,,50.55
2020-03-05,40.35,42.0,41.83,45.26,,50.65
2020-03-06,40.35,41.7,41.99,44.99,,50.45
2020-03-09,39.6,40.8,40.88,44.88,,49.8
2020-03-10,39.2,39.3,40.9,43.8,,49.0
2020-03-11,39.6,39.3,41.49,44.01,,49.1
2020-03-12,39.25,39.5,40.88,43.39,,48.7
2020-03-13,39.4,39.0,41.39,42.33,,48.05
2020-03-16,39.2,38.0,41.07,43.19,,48.4
2020-03-17,39.2,38.0,40.95,43.2,,48.55
2020-03-18,39.4,38.3,41.11,43.2,,48.65
2020-03-19,38.9,37.3,40.21,43.2,,48.0
2020-03-20,37.9,36.5,39.88,41.73,,47.0
2020-03-23,36.9,36.3,38.95,42.0,,46.85
2020-03-24,36.4,35.8,38.88,40.14,,46.0
2020-03-25,36.4,35.3,38.88,40.2,,46.0
2020-03-26,38.05,35.3,38.05,40.22,,45.8
2020-03-27,36.05,35.5,38.35,39.59,,45.5
2020-03-30,35.7,36.0,37.4,38.29,,44.5
2020-03-31,35.05,36.0,36.9,39.0,,44.4
2020-04-01,34.5,36.0,37.07,39.02,,44.15
2020-04-02,34.1,36.0,36.55,38.5,,43.85
2020-04-03,34.1,36.0,36.55,38.85,,43.9
2020-04-07,34.1,36.0,36.55,38.85,,44.25
2020-04-08,34.1,36.1,36.45,39.6,,44.4
2020-04-09,35.0,36.4,37.55,40.22,,45.0
2020-04-10,35.2,36.4,37.55,39.79,,44.6
2020-04-13,35.2,36.7,37.55,39.79,,44.65
2020-04-14,35.2,37.0,36.69,39.79,,44.6
2020-04-15,35.35,37.1,37.49,39.81,,44.55
2020-04-16,35.35,37.4,,39.81,,44.55
2020-04-17,35.55,37.5,37.21,40.12,,44.8
2020-04-20,35.75,37.9,,40.13,,44.85
2020-04-21,35.45,38.2,,40.05,,44.85
2020-04-22,35.25,38.2,,39.77,,44.35
2020-04-23,35.25,38.2,,,,44.55
2020-04-24,35.25,38.2,37.59,40.21,,44.75
2020-04-27,35.25,38.8,,40.26,,44.85
2020-04-28,35.45,39.0,,40.05,,44.7
2020-04-29,35.45,39.2,,40.0,,44.5
2020-04-30,35.2,39.2,36.21,39.75,,44.5
2020-05-05,35.2,39.2,,39.5,,44.05
2020-05-07,35.6,38.6,37.03,39.8,,44.65
2020-05-08,35.35,38.3,37.25,39.82,,44.6
2020-05-12,35.5,38.3,,39.95,,44.7
2020-05-13,35.35,38.5,,39.68,,44.5
2020-05-14,35.35,38.6,37.59,39.5,,44.3
2020-05-15,35.35,38.9,,39.69,,44.35
2020-05-18,35.2,39.1,,39.6,,44.45
2020-05-19,35.7,39.5,37.07,39.81,,44.5
2020-05-20,35.7,40.0,,39.85,,44.5
2020-05-21,35.7,40.3,,39.51,,44.55
2020-05-22,35.9,40.6,,39.89,,44.75
2020-05-25,,41.0,,,,44.75
2020-05-26,35.9,41.2,37.59,40.05,,44.85
2020-05-27,35.9,41.8,,40.22,,45.05
2020-05-28,36.15,42.0,37.61,40.3,,45.2
2020-05-29,36.15,42.3,,40.92,,45.5
2020-06-01,35.8,42.8,,41.19,,45.6
2020-06-02,35.7,43.1,,41.52,,45.8
2020-06-04,36.05,44.0,37.91,41.55,,45.9
2020-06-05,36.45,44.3,39.21,42.22,,46.45
2020-06-08,36.9,45.0,,43.05,,47.25
2020-06-09,37.1,45.5,,43.18,,47.25
2020-06-10,37.25,46.0,,43.23,,47.75
2020-06-11,37.4,46.3,39.3,43.35,,47.4
2020-06-12,37.15,45.8,39.09,43.25,,47.15
